Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ESP32_USB_C\Project Outputs for ESP32_USB_C\Pick Place\Pick Place for ESP32_USB_C(Prototype).csv

========================================================================================================================
File Design Information:

Date:       26-07-25
Time:       23:52
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C10","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","514.904","385.000","0","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","880.000","290.000","0","Single Output Low Noise LDO, 1.5 A, Fixed 3.3 V Output, 2.1 to 20 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-MFG","810.000","860.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2494.409","540.394","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1500.000","850.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SH50SMTR92LFS","TopLayer","FP-PTS645SH50SMTR92LFS-MFG","1500.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","1895.000","471.000","0","RES SMD 0 OHM JUMPER 1/16W 0402"
"R23","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","1896.000","568.000","0","RES SMD 0 OHM JUMPER 1/16W 0402"
"R22","27O","TopLayer","RESC1005X40X25LL05T10","2084.236","862.000","0",""
"R21","27O","TopLayer","RESC1005X40X25LL05T10","2113.764","896.000","180",""
"R20","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","2234.000","162.000","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R19","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","2132.000","162.000","180","RES SMD 0 OHM JUMPER 1/16W 0402"
"R18","10KO","TopLayer","FP-AC0402-MFG","1750.000","294.315","90","RES 10kO ±1% 0.063W 0402"
"R17","10KO","TopLayer","FP-AC0402-MFG","1129.000","927.000","270","RES 10kO ±1% 0.063W 0402"
"R16","10KO","TopLayer","FP-AC0402-MFG","1129.000","791.000","90","RES 10kO ±1% 0.063W 0402"
"R15","5KO","TopLayer","RESC1005X40X25NL05T10","416.000","252.000","90",""
"R14","5KO","TopLayer","RESC1005X40X25NL05T10","428.000","134.000","270",""
"R13","10KO","TopLayer","FP-AC0402-MFG","975.000","670.000","0","RES 10kO ±1% 0.063W 0402"
"R12","5KO","TopLayer","RESC1005X40X25NL05T10","520.000","925.000","90",""
"R11","5KO","TopLayer","RESC1005X40X25NL05T10","520.000","810.000","270",""
"R10","4.7K","TopLayer","FP-RT0402-MFG","975.000","735.000","0","RES SMD 4.7K OHM 0.1% 1/16W 0402"
"R8","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","680.000","710.000","90","RES SMD 0 OHM JUMPER 1/16W 0402"
"R7","27O","TopLayer","RESC1005X40X25LL05T10","627.000","888.000","0",""
"R6","27O","TopLayer","RESC1005X40X25LL05T10","625.000","848.000","0",""
"R4","1KO","TopLayer","FP-RC0402-0_4-IPC_A","1903.000","912.000","270","RES 1K OHM 1% 1/16W 0402"
"R3","1KO","TopLayer","FP-RC0402-0_4-IPC_A","1919.000","218.000","270","RES 1K OHM 1% 1/16W 0402"
"R1","RC0402FR-070RL","TopLayer","FP-RC0402-0_4-IPC_A","729.000","569.000","0","RES SMD 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-MFG","1235.000","908.000","0","NPN TRANSISTOR 1.5A 40V SOT-23 R"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-MFG","1235.000","772.000","0","NPN TRANSISTOR 1.5A 40V SOT-23 R"
"J6","FTS-102-01-F-S","TopLayer","HRD_1X2_1.27MM","1500.000","550.000","90","CONN HEADER VERT 2POS 1.27MM"
"J5","FTS-103-01-F-S","TopLayer","HRD_1X3_1.27MM","445.000","570.000","0","CONN HEADER VERT 3POS 1.27MM"
"J4","S","TopLayer","MOLEX_2171790001","157.579","220.079","270","USB Connector, USB Type C, USB 2.0, Receptacle, 16 Ways, Surface Mount, Through Hole Mount"
"J3","217179-0001","TopLayer","MOLEX_2171790001","159.941","874.213","270","USB Connector, USB Type C, USB 2.0, Receptacle, 16 Ways, Surface Mount, Through Hole Mount"
"J2","0022284245","BottomLayer","HRD_1X24_2.54MM","1600.000","50.000","180","CONN HEADER VERT 24POS 2.54MM"
"J1","0022284245","BottomLayer","HRD_1X24_2.54MM","1600.000","1050.000","180","CONN HEADER VERT 24POS 2.54MM"
"D8","SD36C-01FTG","TopLayer","FP-SD-C-MFG","329.000","146.118","90","TVS DIODE 36V 60V SOD323"
"D7","SD36C-01FTG","TopLayer","FP-SD-C-MFG","330.000","265.000","270","TVS DIODE 36V 60V SOD323"
"D6","SD36C-01FTG","TopLayer","FP-SD-C-MFG","400.000","385.000","0","TVS DIODE 36V 60V SOD323"
"D5","SD36C-01FTG","TopLayer","FP-SD-C-MFG","381.000","794.000","90","TVS DIODE 36V 60V SOD323"
"D4","SD36C-01FTG","TopLayer","FP-SD-C-MFG","368.000","951.000","270","TVS DIODE 36V 60V SOD323"
"D3","SD36C-01FTG","TopLayer","FP-SD-C-MFG","370.118","688.000","0","TVS DIODE 36V 60V SOD323"
"D2","RED","TopLayer","FP-SML-P1-MFG","1826.000","911.000","270","LED RED CLEAR 0402 SMD"
"D1","GREEN","TopLayer","FP-6_541-5056_01-4-MFG","1839.000","212.000","90","LED GREEN 0603 SMD"
"C16","1µF, 35V","TopLayer","FP-CL440-IPC_C","1750.000","212.000","270","Cap Ceramic 1uF 35V X5R ±10% SMD 0402 +85°C Paper T/R"
"C15","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","2616.000","944.000","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C14","10µF, 10V","TopLayer","FP-CL07-IPC_C","2681.000","946.000","180","Cap Ceramic 10uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C13","10µF, 10V","TopLayer","FP-CL07-IPC_C","615.000","240.000","270","Cap Ceramic 10uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C12","10µF, 10V","TopLayer","FP-CL07-IPC_C","656.000","238.000","270","Cap Ceramic 10uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C11","4.7µF, 16V","TopLayer","FP-CL829-IPC_C","648.000","368.000","90","Cap Ceramic 4.7uF 16V X5R ±20% SMD 0402 +85°C Paper T/R"
"C9","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","635.000","953.000","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C8","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","625.000","790.000","0","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C6","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","1011.000","899.370","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C5","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","2742.000","978.000","0","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C4","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","2734.000","114.000","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C3","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","805.000","701.000","0","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
"C2","4.7µF, 16V","TopLayer","FP-CL829-IPC_C","803.000","634.000","0","Cap Ceramic 4.7uF 16V X5R ±20% SMD 0402 +85°C Paper T/R"
"C1","0.1µF, 50V","TopLayer","FP-CL779-IPC_C","520.000","691.000","180","Cap Ceramic 100nF 50V X7R ±10% SMD 0402 +125°C Paper T/R"
